trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,244.7685926000122,246.2760935999686,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.76841289998265,248.2755701999995,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,248.76823489996605,250.27598219999345,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,250.7680502999574,252.27560599998105,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
120,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,252.76792579999892,254.2750578999985,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
121,0,121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,254.7676080999663,256.2800131000113,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
122,0,122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,256.7675340999849,258.27436360000866,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
123,0,123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,258.7671961999731,260.27422159997514,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
124,0,124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,260.76696009997977,262.2732723999652,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
125,0,125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,262.76680929999566,264.27373149996856,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
126,0,126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,264.7667664999608,266.274289199966,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
127,0,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,266.76643799996236,268.27405929996166,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
128,0,128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,268.7662927999627,270.27352330001304,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
