trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,182.47475560000748,182.98071000000346,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9777035000152,184.48128670000006,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,185.4744292999967,185.98959230000037,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,186.97882360001677,187.47959740000078,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,188.4811047000112,188.98306779999984,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,189.97781979999854,190.48343130000285,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,191.47380180002074,191.9804726000002,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,192.9778318000026,193.4834446000168,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,194.47945959999925,194.98020220000762,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,195.978230800014,196.48295400000643,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,197.48085210000863,197.98058660002425,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,198.9761400000134,199.48260390001815,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.47911650000606,200.98013949999586,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,201.97580899999593,202.48227720000432,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,203.47893100001966,203.98017470000195,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,204.97574419999728,205.4816346000007,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4789697000233,206.9806372000021,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,207.97526740000467,208.48213200000464,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
111,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,209.47909609999624,209.9802724000183,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
112,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,210.97492910001893,211.4812015000207,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
113,0,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,212.47905990001163,212.98040699999547,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,213.9746076000156,214.48101240000688,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,215.47918819999904,215.9793112000043,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,216.97440269999788,217.48132350001833,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,218.4791841999977,218.9872590000159,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,219.97969609999564,220.4802856000024,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,221.47858250001445,221.98276140002417,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
120,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,222.9814338000142,223.48040220001712,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
