trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
118,0,118,0,,,,,,,,,,,,,,,,,,,225.82686600000306,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
119,0,119,0,,,,,,,,,,,,,,,,,,,227.42034370001056,228.7266573000088,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
120,0,120,0,,,,,,,,,,,,,,,,,,,229.026068200008,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
121,0,121,0,,,,,,,,,,,,,,,,,,,230.62610450001375,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
122,0,122,0,,,,,,,,,,,,,,,,,,,232.22598380000272,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
123,0,123,0,,,,,,,,,,,,,,,,,,,233.8273681999999,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
124,0,124,0,,,,,,,,,,,,,,,,,,,235.42592580000928,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
125,0,125,0,,,,,,,,,,,,,,,,,,,237.02631700001075,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
126,0,126,0,,,,,,,,,,,,,,,,,,,238.6257370000094,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
127,0,127,0,,,,,,,,,,,,,,,,,,,240.22651080001378,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
128,0,128,0,,,,,,,,,,,,,,,,,,,241.82484580000164,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
129,0,129,0,,,,,,,,,,,,,,,,,,,243.42575960000977,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
130,0,130,0,,,,,,,,,,,,,,,,,,,245.026308600005,246.33145460000378,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
131,0,131,0,,,,,,,,,,,,,,,,,,,246.62443420001364,247.9305527000106,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
132,0,132,0,,,,,,,,,,,,,,,,,,,248.22408910001104,249.53105530000175,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
133,0,133,0,,,,,,,,,,,,,,,,,,,249.82413410001027,251.13194090001343,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
134,0,134,0,,,,,,,,,,,,,,,,,,,251.4238561000093,252.73087840000517,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
135,0,135,0,,,,,,,,,,,,,,,,,,,253.02371440001298,254.33077970000159,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
136,0,136,0,,,,,,,,,,,,,,,,,,,254.62358480000694,255.9319361000089,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
137,0,137,0,,,,,,,,,,,,,,,,,,,256.2232617000118,257.5302498000092,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
138,0,138,0,,,,,,,,,,,,,,,,,,,257.823893400011,259.1310196000122,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
139,0,139,0,,,,,,,,,,,,,,,,,,,259.42298700001265,260.72920920001343,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
140,0,140,0,,,,,,,,,,,,,,,,,,,261.02287260000594,262.32940919999965,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
141,0,141,0,,,,,,,,,,,,,,,,,,,262.6235780999996,263.9292487000057,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
142,0,142,0,,,,,,,,,,,,,,,,,,,264.2225718000118,265.5321600000025,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
143,0,143,0,,,,,,,,,,,,,,,,,,,265.8224399000028,267.1284929000103,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
144,0,144,0,,,,,,,,,,,,,,,,,,,267.4221189000091,268.7293723000039,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
145,0,145,0,,,,,,,,,,,,,,,,,,,269.0229010000039,270.3324546000076,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
146,0,146,0,,,,,,,,,,,,,,,,,,,270.6224324000068,271.9289897000126,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
147,0,147,0,,,,,,,,,,,,,,,,,,,272.2219793000113,273.5303312000033,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
148,0,148,0,,,,,,,,,,,,,,,,,,,273.82144460000563,275.12735530000646,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
149,0,149,0,,,,,,,,,,,,,,,,,,,275.42127570000594,276.7278753999999,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
150,0,150,0,,,,,,,,,,,,,,,,,,,277.0211794000061,278.32816540000204,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
151,0,151,0,,,,,,,,,,,,,,,,,,,278.62105030000384,279.9315382000059,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
152,0,152,0,,,,,,,,,,,,,,,,,,,280.22096790000796,281.5273339000123,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
